Pressure (bar),Flow (L/min),Flow (mL/s)
5.354,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
5.3481,0.0,0.0
5.3501,0.0,0.0
5.3698,0.0,0.0
5.3461,0.0,0.0
5.3501,0.0,0.0
5.354,0.0,0.0
5.3442,0.0,0.0
5.3619,0.0,0.0
5.3461,0.0,0.0
5.3422,0.0,0.0
5.3442,0.0,0.0
5.356,0.0,0.0
5.354,0.0,0.0
5.3442,0.0,0.0
5.3501,0.0,0.0
5.3501,0.0,0.0
5.3442,0.0,0.0
5.3619,0.0,0.0
5.3442,0.0,0.0
5.3659,0.0,0.0
5.3382,0.0,0.0
5.3501,0.0,0.0
5.3382,0.0,0.0
5.3639,0.0,0.0
5.3461,0.0,0.0
5.3402,0.0,0.0
5.3718,0.0,0.0
5.3442,0.0,0.0
5.3521,0.0,0.0
5.3442,0.0,0.0
5.354,0.0,0.0
5.354,0.0,0.0
5.3461,0.0,0.0
5.3501,0.0,0.0
5.3461,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
5.3639,0.0,0.0
5.3442,0.0,0.0
5.3402,0.0,0.0
5.3442,0.0,0.0
5.3639,0.0,0.0
5.354,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
5.3402,0.0,0.0
5.3639,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
5.356,0.0,0.0
5.3521,0.0,0.0
5.3639,0.0,0.0
5.3442,0.0,0.0
5.356,0.0,0.0
5.3501,0.0,0.0
5.358,0.0,0.0
5.3481,0.0,0.0
5.3501,0.0,0.0
5.3442,0.0,0.0
5.3461,0.0,0.0
5.3619,0.0,0.0
5.3461,0.0,0.0
5.3659,0.0,0.0
5.3422,0.0,0.0
5.3442,0.0,0.0
5.3363,0.0,0.0
5.2869,0.0,0.0
5.354,0.0,0.0
5.3205,0.0,0.0
2.524,0.0,0.0
2.3187,0.0,0.0
5.1764,0.0,0.0
2.672,0.0,0.0
1.922,0.0,0.0
5.3146,0.0,0.0
1.6458,0.0,0.0
5.3817,0.0,0.0
5.3442,0.0,0.0
5.3402,0.0,0.0
5.3205,0.0,0.0
5.3639,0.0,0.0
5.3481,0.0,0.0
4.9277,0.0,0.0
5.3876,0.0,0.0
3.9785,0.0,0.0
3.5265,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
3.7555,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
5.354,0.0,0.0
5.3442,0.0,0.0
5.3501,0.0,0.0
2.5615,0.0,0.0
5.354,0.0,0.0
5.3698,0.0,0.0
5.3461,0.0,0.0
5.3382,0.0,0.0
5.3382,0.0,0.0
5.3442,0.0,0.0
5.3382,0.0,0.0
5.3481,0.0,0.0
5.3678,0.0,0.0
5.3481,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
5.3619,0.0,0.0
5.3442,0.0,0.0
5.356,0.0,0.0
5.3442,0.0,0.0
4.1462,0.0,0.0
5.3422,0.0,0.0
5.3442,0.0,0.0
5.3461,0.0,0.0
5.3442,0.0,0.0
5.354,0.0,0.0
5.3461,0.0,0.0
5.356,0.0,0.0
5.3461,0.0,0.0
5.3501,0.0,0.0
5.3422,0.0,0.0
5.3659,0.0,0.0
5.3481,0.0,0.0
5.3442,0.0,0.0
5.3461,0.0,0.0
5.3422,0.0,0.0
5.354,0.0,0.0
5.354,0.0,0.0
5.3619,0.0,0.0
5.3402,0.0,0.0
5.3481,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
5.3461,0.0,0.0
5.354,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
5.3461,0.0,0.0
5.3718,0.0,0.0
5.3442,0.0,0.0
5.3382,0.0,0.0
5.3442,0.0,0.0
5.3481,0.0,0.0
5.3442,0.0,0.0
5.3461,0.0,0.0
5.3501,0.0,0.0
5.3481,0.0,0.0
5.3442,0.0,0.0
5.3422,0.0,0.0
5.3521,0.0,0.0
5.3461,0.0,0.0
5.3461,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
5.3501,0.0,0.0
5.3521,0.0,0.0
5.354,0.0,0.0
5.356,0.0,0.0
5.3501,0.0,0.0
5.3501,0.0,0.0
5.3442,0.0,0.0
5.3501,0.0,0.0
5.3501,0.0,0.0
5.3481,0.0,0.0
5.3442,0.0,0.0
5.3461,0.0,0.0
5.3501,0.0,0.0
5.3521,0.0,0.0
5.3619,0.0,0.0
5.3501,0.0,0.0
5.3442,0.0,0.0
3.8916,0.0,0.0
2.6424,0.0,0.0
4.9751,0.0,0.0
3.5581,0.0,0.0
2.6108,0.0,0.0
2.6009,0.0,0.0
2.5852,0.0,0.0
3.42,0.0,0.0
5.3343,0.0,0.0
5.354,0.0,0.0
4.7541,0.0,0.0
4.3969,0.0,0.0
4.3475,0.0,0.0
4.1817,0.0,0.0
4.0179,0.0,0.0
3.8798,0.0,0.0
3.7712,0.0,0.0
3.6903,0.0,0.0
3.5976,0.0,0.0
3.6272,0.0,0.0
3.6903,0.0,0.0
3.7653,0.0,0.0
3.8739,0.0,0.0
3.9548,0.0,0.0
4.0179,0.0,0.0
4.1383,0.0,0.0
4.2528,0.0,0.0
4.4087,0.0,0.0
4.4679,0.0,0.0
4.5686,0.0,0.0
4.6495,0.0,0.0
4.7126,0.0,0.0
4.7817,0.0,0.0
4.8824,0.0,0.0
4.9554,0.0,0.0
4.9613,0.0,0.0
5.0422,0.0,0.0
5.1034,0.0,0.0
5.1646,0.0,0.0
5.1764,0.0,0.0
5.1804,0.0,0.0
5.2356,0.0,0.0
5.2573,0.0,0.0
5.3619,0.0,0.0
5.3007,0.0,0.0
5.3067,0.0,0.0
5.3047,0.0,0.0
5.3185,0.0,0.0
5.3264,0.0,0.0
5.3402,0.0,0.0
5.3106,0.0,0.0
5.3323,0.0,0.0
5.3343,0.0,0.0
5.3461,0.0,0.0
5.3343,0.0,0.0
5.3363,0.0,0.0
5.3442,0.0,0.0
5.358,0.0,0.0
5.3442,0.0,0.0
5.3382,0.0,0.0
5.3402,0.0,0.0
5.3422,0.0,0.0
5.3442,0.0,0.0
5.3461,0.0,0.0
5.3461,0.0,0.0
5.3422,0.0,0.0
5.3481,0.0,0.0
5.3501,0.0,0.0
5.354,0.0,0.0
5.3422,0.0,0.0
5.3363,0.0,0.0
5.3323,0.0,0.0
5.356,0.0,0.0
5.3461,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
5.3639,0.0,0.0
5.356,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
5.3402,0.0,0.0
5.358,0.0,0.0
5.3501,0.0,0.0
5.3481,0.0,0.0
5.3442,0.0,0.0
5.358,0.0,0.0
5.3442,0.0,0.0
5.3461,0.0,0.0
5.354,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
5.354,0.0,0.0
5.3442,0.0,0.0
5.358,0.0,0.0
5.3481,0.0,0.0
5.3442,0.0,0.0
5.3442,0.0,0.0
5.3481,0.0,0.0
5.3382,0.0,0.0
5.354,0.0,0.0
5.3382,0.0,0.0
5.3442,3.3003,5.5005
5.358,3.3003,5.5005
5.3481,3.3003,5.5005
5.3501,3.3003,5.5005
5.3461,3.3003,5.5005
5.3461,3.3003,5.5005
5.3461,3.3003,5.5005
5.3481,3.3003,5.5005
5.3481,3.3003,5.5005
5.3442,3.3003,5.5005
5.3422,3.3003,5.5005
5.3461,3.3003,5.5005
5.3442,3.3003,5.5005
5.3442,3.3003,5.5005
5.3481,3.3003,5.5005
5.3501,3.3003,5.5005
5.3659,3.3003,5.5005
5.3442,3.3003,5.5005
5.3442,3.3003,5.5005
5.3481,3.3003,5.5005
5.3461,3.3003,5.5005
5.356,3.3003,5.5005
5.3481,3.3003,5.5005
5.3422,3.3003,5.5005
5.3481,3.3003,5.5005
5.3442,3.3003,5.5005
5.3481,3.3003,5.5005
5.3501,3.3003,5.5005
5.3481,3.3003,5.5005
5.354,3.3003,5.5005
5.3501,3.3003,5.5005
5.358,3.3003,5.5005
5.3442,3.3003,5.5005
5.3521,3.3003,5.5005
5.3244,3.3003,5.5005
5.3876,3.3003,5.5005
5.3382,3.3003,5.5005
5.3698,3.3003,5.5005
5.3501,3.3003,5.5005
5.3264,3.3003,5.5005
5.3797,3.3003,5.5005
5.3481,3.3003,5.5005
5.3402,3.3003,5.5005
5.3777,3.3003,5.5005
5.3501,3.3003,5.5005
5.3718,3.3003,5.5005
5.3738,3.3003,5.5005
5.3481,3.3003,5.5005
5.358,3.3003,5.5005
5.3264,3.3003,5.5005
5.3501,3.3003,5.5005
5.3442,3.3003,5.5005
5.354,3.3003,5.5005
5.3323,3.3003,5.5005
5.3501,3.3003,5.5005
5.3442,3.3003,5.5005
5.3442,3.3003,5.5005
5.3422,3.3003,5.5005
5.3481,3.3003,5.5005
5.3442,3.3003,5.5005
5.358,3.3003,5.5005
5.3461,3.3003,5.5005
5.3442,3.3003,5.5005
5.3481,3.3003,5.5005
5.3501,3.3003,5.5005
5.3461,3.3003,5.5005
5.3343,3.3003,5.5005
5.3442,3.3003,5.5005
5.3501,3.3003,5.5005
5.356,3.3003,5.5005
5.3501,3.3003,5.5005
5.3461,3.3003,5.5005
5.3402,3.3003,5.5005
5.3422,3.3003,5.5005
5.3501,3.3003,5.5005
5.358,3.3003,5.5005
5.3442,3.3003,5.5005
5.3422,3.3003,5.5005
5.3461,3.3003,5.5005
5.3481,3.3003,5.5005
5.3501,3.3003,5.5005
5.3461,3.3003,5.5005
5.3442,3.3003,5.5005
5.3639,3.3003,5.5005
5.3481,3.3003,5.5005
5.3442,3.3003,5.5005
5.3461,3.3003,5.5005
5.354,3.3003,5.5005
5.3442,3.3003,5.5005
5.3481,3.3003,5.5005
5.3521,3.3003,5.5005
5.358,3.3003,5.5005
5.3461,3.3003,5.5005
5.3521,3.3003,5.5005
5.3738,3.3003,5.5005
5.3501,3.3003,5.5005
5.3422,3.3003,5.5005
5.3501,3.3003,5.5005
5.358,3.3003,5.5005
5.3442,3.3003,5.5005
5.3521,3.3003,5.5005
5.3481,2.2442,3.7404
5.3461,2.2442,3.7404
5.356,2.2442,3.7404
5.358,2.2442,3.7404
5.354,2.2442,3.7404
5.3501,2.2442,3.7404
5.358,2.2442,3.7404
5.356,2.2442,3.7404
5.356,2.2442,3.7404
5.3442,2.2442,3.7404
5.3639,2.2442,3.7404
5.3461,2.2442,3.7404
5.3698,2.2442,3.7404
5.3402,2.2442,3.7404
5.3422,2.2442,3.7404
4.6258,2.2442,3.7404
4.3791,2.2442,3.7404
4.5232,2.2442,3.7404
4.458,2.2442,3.7404
4.2962,2.2442,3.7404
4.1462,2.2442,3.7404
4.0061,2.2442,3.7404
3.9054,2.2442,3.7404
3.8462,2.2442,3.7404
3.789,2.2442,3.7404
3.8324,2.2442,3.7404
3.9252,2.2442,3.7404
3.9903,2.2442,3.7404
4.0811,2.2442,3.7404
4.1877,2.2442,3.7404
4.2844,2.2442,3.7404
4.3732,2.2442,3.7404
4.4857,2.2442,3.7404
4.5922,2.2442,3.7404
4.7067,2.2442,3.7404
4.7718,2.2442,3.7404
4.8745,2.2442,3.7404
4.9396,2.2442,3.7404
4.9869,2.2442,3.7404
5.056,2.2442,3.7404
5.1172,2.2442,3.7404
5.1527,2.2442,3.7404
5.1843,2.2442,3.7404
5.2179,2.2442,3.7404
5.2455,2.2442,3.7404
5.2672,2.2442,3.7404
5.2869,2.2442,3.7404
5.3106,2.2442,3.7404
5.3422,2.2442,3.7404
5.3303,2.2442,3.7404
5.3382,2.2442,3.7404
5.3086,2.2442,3.7404
5.2928,2.2442,3.7404
5.3343,2.2442,3.7404
5.3185,2.2442,3.7404
5.3343,2.2442,3.7404
5.3382,2.2442,3.7404
5.354,2.2442,3.7404
5.3442,2.2442,3.7404
5.3521,2.2442,3.7404
5.3718,2.2442,3.7404
5.3442,2.2442,3.7404
5.3402,2.2442,3.7404
5.3777,2.2442,3.7404
5.3738,2.2442,3.7404
5.3442,2.2442,3.7404
5.3442,2.2442,3.7404
5.3461,2.2442,3.7404
5.3264,2.2442,3.7404
5.3501,2.2442,3.7404
5.3422,2.2442,3.7404
5.3521,2.2442,3.7404
5.3442,2.2442,3.7404
5.3619,2.2442,3.7404
5.3442,2.2442,3.7404
5.354,2.2442,3.7404
5.3461,2.2442,3.7404
5.3442,2.2442,3.7404
5.358,2.2442,3.7404
5.354,2.2442,3.7404
5.354,2.2442,3.7404
5.3442,2.2442,3.7404
5.3678,2.2442,3.7404
2.5674,2.2442,3.7404
3.4436,2.2442,3.7404
5.354,2.2442,3.7404
5.3777,2.2442,3.7404
5.3521,2.2442,3.7404
5.3402,2.2442,3.7404
5.3461,2.2442,3.7404
5.356,2.2442,3.7404
5.3501,2.2442,3.7404
5.3698,2.2442,3.7404
5.356,2.2442,3.7404
5.3442,2.2442,3.7404
5.3619,2.2442,3.7404
5.358,2.2442,3.7404
5.3718,2.2442,3.7404
5.358,2.2442,3.7404
5.3501,2.2442,3.7404
5.3343,2.2442,3.7404
5.3027,3.4323,5.7206
5.3501,3.4323,5.7206
5.358,3.4323,5.7206
5.3442,3.4323,5.7206
5.3678,3.4323,5.7206
5.3619,3.4323,5.7206
5.358,3.4323,5.7206
5.356,3.4323,5.7206
5.3461,3.4323,5.7206
5.356,3.4323,5.7206
5.3461,3.4323,5.7206
5.3521,3.4323,5.7206
5.3501,3.4323,5.7206
5.3461,3.4323,5.7206
5.3442,3.4323,5.7206
5.3738,3.4323,5.7206
5.3461,3.4323,5.7206
5.3461,3.4323,5.7206
5.3501,3.4323,5.7206
5.3619,3.4323,5.7206
5.3481,3.4323,5.7206
5.3461,3.4323,5.7206
5.3659,3.4323,5.7206
5.3501,3.4323,5.7206
5.3639,3.4323,5.7206
5.3481,3.4323,5.7206
5.3698,3.4323,5.7206
5.354,3.4323,5.7206
5.3461,3.4323,5.7206
5.358,3.4323,5.7206
5.358,3.4323,5.7206
5.3501,3.4323,5.7206
5.3481,3.4323,5.7206
5.3461,3.4323,5.7206
5.3501,3.4323,5.7206
5.3501,3.4323,5.7206
5.3639,3.4323,5.7206
5.3481,3.4323,5.7206
5.354,3.4323,5.7206
5.356,3.4323,5.7206
5.358,3.4323,5.7206
5.3639,3.4323,5.7206
5.354,3.4323,5.7206
5.3659,3.4323,5.7206
5.3442,3.4323,5.7206
5.354,3.4323,5.7206
5.358,3.4323,5.7206
5.3481,3.4323,5.7206
5.358,3.4323,5.7206
5.3619,3.4323,5.7206
5.3619,3.4323,5.7206
5.358,3.4323,5.7206
5.358,3.4323,5.7206
5.358,3.4323,5.7206
5.3481,3.4323,5.7206
5.3461,3.4323,5.7206
5.3678,3.4323,5.7206
5.3501,3.4323,5.7206
5.3659,3.4323,5.7206
5.354,3.4323,5.7206
5.3501,3.4323,5.7206
5.356,3.4323,5.7206
5.3659,3.4323,5.7206
5.3165,3.4323,5.7206
5.3678,3.4323,5.7206
5.354,3.4323,5.7206
5.3659,3.4323,5.7206
5.3738,3.4323,5.7206
5.3481,3.4323,5.7206
5.3501,3.4323,5.7206
5.3955,3.4323,5.7206
5.3639,3.4323,5.7206
5.3501,3.4323,5.7206
5.3126,3.4323,5.7206
5.3461,3.4323,5.7206
5.3461,3.4323,5.7206
5.3501,3.4323,5.7206
5.3106,3.4323,5.7206
5.3461,3.4323,5.7206
5.3442,3.4323,5.7206
5.3698,3.4323,5.7206
5.3343,3.4323,5.7206
5.3698,3.4323,5.7206
5.354,3.4323,5.7206
5.3639,3.4323,5.7206
5.354,3.4323,5.7206
5.3442,3.4323,5.7206
5.3422,3.4323,5.7206
5.3442,3.4323,5.7206
5.3501,3.4323,5.7206
5.3461,3.4323,5.7206
5.3442,3.4323,5.7206
5.3442,3.4323,5.7206
5.3659,3.4323,5.7206
