Pressure (bar),Flow (L/min),Flow (mL/s)
5.3067,3.9604,6.6007
5.3224,3.9604,6.6007
5.3244,3.9604,6.6007
5.3205,3.9604,6.6007
5.3264,3.9604,6.6007
5.3303,3.9604,6.6007
5.3224,3.9604,6.6007
5.3106,3.9604,6.6007
5.3363,3.9604,6.6007
5.354,3.9604,6.6007
5.3264,3.9604,6.6007
5.3185,1.9802,3.3003
5.3165,1.9802,3.3003
5.3224,1.9802,3.3003
5.3126,1.9802,3.3003
5.3205,1.9802,3.3003
5.3303,1.9802,3.3003
5.3244,1.9802,3.3003
5.3264,1.9802,3.3003
5.3323,1.9802,3.3003
5.3343,1.9802,3.3003
5.3165,1.9802,3.3003
5.3165,1.9802,3.3003
5.3264,1.9802,3.3003
5.3224,1.9802,3.3003
5.3244,1.9802,3.3003
5.3224,1.9802,3.3003
5.3382,1.9802,3.3003
5.3185,1.9802,3.3003
5.3442,1.9802,3.3003
5.3185,1.9802,3.3003
5.3323,1.9802,3.3003
5.3323,1.9802,3.3003
5.3264,1.9802,3.3003
5.3264,1.9802,3.3003
5.3303,1.9802,3.3003
5.3343,1.9802,3.3003
5.3382,1.9802,3.3003
5.3323,1.9802,3.3003
5.3382,1.9802,3.3003
5.3382,1.9802,3.3003
5.3323,1.9802,3.3003
5.3442,1.9802,3.3003
5.3264,1.9802,3.3003
5.3382,1.9802,3.3003
5.3106,1.9802,3.3003
5.3402,1.9802,3.3003
5.3382,1.9802,3.3003
5.3303,1.9802,3.3003
5.3185,1.9802,3.3003
5.3244,1.9802,3.3003
5.3382,1.9802,3.3003
5.3323,1.9802,3.3003
5.3442,1.9802,3.3003
5.3244,1.9802,3.3003
5.3323,1.9802,3.3003
5.3224,1.9802,3.3003
5.3402,1.9802,3.3003
5.3205,1.9802,3.3003
5.3323,1.9802,3.3003
5.3422,1.9802,3.3003
5.3323,1.9802,3.3003
5.3284,1.9802,3.3003
5.3442,1.9802,3.3003
5.354,1.9802,3.3003
5.3323,1.9802,3.3003
5.3126,1.9802,3.3003
5.3165,1.9802,3.3003
5.3382,1.9802,3.3003
5.3264,1.9802,3.3003
5.3303,1.9802,3.3003
5.3402,1.9802,3.3003
5.3264,1.9802,3.3003
5.3323,1.9802,3.3003
5.3205,1.9802,3.3003
5.3323,1.9802,3.3003
5.3126,1.9802,3.3003
5.3382,1.9802,3.3003
5.3303,1.9802,3.3003
5.3363,1.9802,3.3003
5.3402,1.9802,3.3003
5.3224,1.9802,3.3003
5.3284,1.9802,3.3003
5.3323,1.9802,3.3003
5.3264,1.9802,3.3003
5.3244,1.9802,3.3003
5.3244,1.9802,3.3003
5.3244,1.9802,3.3003
5.3185,1.9802,3.3003
5.3205,1.9802,3.3003
5.3205,1.9802,3.3003
5.3224,1.9802,3.3003
5.3244,1.9802,3.3003
5.3224,1.9802,3.3003
5.3303,1.9802,3.3003
5.3224,1.9802,3.3003
